date,Aspropirgos,Galatsi,Kiourka,Menidi,Total
1996-12-31,541000,117202360,30246060,159442530,307431950
1997-12-31,9524900,109942110,33562630,166397490,319427130
1998-12-31,16879030,115115200,38059490,169622070,339675790
1999-12-31,20708360,98492180,43103490,194699024,357003054
2000-12-31,28502580,115247110,53509070,188597314,385856074
2001-12-31,44301787,117981570,62891720,175383140,400558217
2002-12-31,43978673,140823750,54288260,177510460,416601143
2003-12-31,43773304,130771809,58391554,166283638,399220305
2004-12-31,43535756,132021988,60312440,177498303,413368487
2005-12-31,42398107,130680325,51359723,175559056,399997211
2006-12-31,46468033,130201878,49096504,186272169,412038584
2007-12-31,50179783,127960600,48797132,193822399,420759914
2008-12-31,55744257,130918892,45760891,198594213,431018253
2009-12-31,54232300,124456010,44771503,191325688,414785501
2010-12-31,51748898,124413117,49901599,191565011,417628625
2011-12-31,46832298,126577032,48873283,184385759,406668372
2012-12-31,49057185,126015196,46078249,187009663,408160293
2013-12-31,48944346,121915519,44554395,182337910,397752170
2014-12-31,46139374,125703907,39392562,186623839,397859682
2015-12-31,47767925,131476102,38623043,189746265,407613335
2016-12-31,49626831,126172955,38381542,196377852,410559180
2017-12-31,49075117,117673998,37138103,187961951,391849169
2018-12-31,48213870,115352927,34986236,184112776,382665809
2019-12-31,47723860,115612202,38830673,185032062,387198797
2020-12-31,48526665,117001129,38897454,188799266,393224514
2021-12-31,51006769,118811226,39859243,189303684,398980922
2022-12-31,47005670,115022325,38348676,184049272,384425943
2023-12-31,46329506,114950924,39577848,185796227,386654505
2024-12-31,43999790,119762033,47298448,198170057,409230328
2025-12-31,6310740,21574514,7250556,34435911,69571721
